customer_id,age,gender,annual_income,total_spend,num_orders,avg_order_value,days_since_last_order,website_visits,pages_per_visit,session_duration_min,discount_pct_used,customer_satisfaction,is_returning_customer,region,revenue_per_visit,spend_per_order,engagement_score,spending_tier,recency_score
1,56.0,Female,49922.95,924.0000141591952,13,36.26,115.0,18,3.18,27.029976776044148,2.43,4,1,North,51.33,71.08,0.5414,Premium,0.21
2,69.0,Male,77304.98,842.37,9,75.67,192.0,33,4.86,5.17,16.58,1,0,North,25.53,93.6,0.4762,Premium,0.1898
3,46.0,Male,73518.25,517.94,7,56.35,324.0,21,6.28,2.4,4.31,4,0,East,24.66,73.99,0.3711,High,0.1728
4,32.0,Female,45082.31994422793,227.87,9,105.26,214.0,23,4.55,8.57,37.1,3,1,West,9.91,25.32,0.4155,Medium,0.186
5,60.0,Male,30973.84,181.25,9,78.1,5.0,25,3.9,9.168043046778848,15.54,5,1,West,7.25,20.14,0.4244,Medium,0.5139
6,25.0,Female,66412.22472215087,4.3,6,34.06,83.0,21,5.43,5.37,9.74,4,0,Central,0.2,0.72,0.3833,Low,0.2251
7,38.0,Other,68366.33,896.7,8,95.59,45.0,24,4.65,3.75,4.69,4,1,North,37.36,112.09,0.3735,Premium,0.2597
8,56.0,Male,29421.13,45.75,4,166.2,41.0,28,3.12,7.3,9.95,3,1,East,1.63,11.44,0.4119,Low,0.2659
9,36.0,Male,41801.68,498.15,9,91.71569788054123,199.0,28,3.17,12.2,17.35,3,1,North,17.79,55.35,0.4675,High,0.1886
10,40.0,Female,23669.53,350.67,6,85.18,188.0,27,6.23,15.06,23.97,3,1,West,12.99,58.44,0.5649,Medium,0.1906
11,28.0,Female,68515.23,374.0,3,35.65,30.0,29,5.66,15.07,8.88,3,1,East,12.9,124.67,0.5693,High,0.2885
12,28.0,Female,68357.82,1306.68,8,206.75375,288.0,24,6.07,10.02,25.56,2,1,South,54.44,163.34,0.4778,Premium,0.1764
13,41.0,Other,100225.85,16.06,12,98.96,307.0,23,4.96,12.84,9.85,4,1,North,0.7,1.34,0.4729,Low,0.1744
14,70.0,Male,43721.74,742.27,4,73.37,358.0,29,2.78,8.93,7.6,5,0,West,25.6,185.57,0.4307,Premium,0.1699
15,53.0,Female,61434.99,26.73,11,98.33,287.0,22,3.93,18.21,10.53,3,0,West,1.22,2.43,0.4982,Low,0.1765
16,57.0,Female,80327.52,19.45,13,61.63,53.0,25,4.92,4.81,16.21,3,1,East,0.78,1.5,0.401,Low,0.2495
17,41.0,Female,33625.98,280.9,7,68.21,128.0,23,6.28,2.34,16.21,5,1,West,12.21,40.13,0.3886,Medium,0.2054
18,20.0,Male,31163.96,32.58,10,101.38,361.0,22,2.35,4.62,20.96,2,0,East,1.48,3.26,0.3087,Low,0.1697
19,46.114603021126655,Female,34151.35,778.29,6,69.11,132.0,29,1.34,16.24,20.19,2,1,East,26.84,129.72,0.4766,Premium,0.2042
20,70.0,Female,41165.35,377.05,5,69.51,7.0,20,8.11,20.85,10.62,5,0,Central,18.85,75.41,0.6115,High,0.4551
21,19.0,Male,31720.64,14.73,11,96.74,69.0,24,6.58,4.69,2.42,3,0,North,0.61,1.34,0.4311,Low,0.2346
22,41.0,Male,34894.56,20.67,8,41.97,318.0,31,3.92,5.74,28.79,4,1,East,0.67,2.58,0.4414,Low,0.1734
23,61.0,Female,76149.79,474.24,8,132.79,9.0,34,5.08,17.0,15.58,4,0,West,13.95,59.28,0.622,High,0.417
24,47.0,Male,46715.28,820.24,8,189.47,242.21166805196313,23,4.74,3.23,13.33,4,1,South,35.66,102.53,0.3608,Premium,0.1819
25,55.0,Male,57145.11,287.95,8,58.81,189.0,39,6.02,8.03,12.48,2,1,Central,7.38,35.99,0.5909,Medium,0.1904
