age,annual_income,total_spend_12m,purchase_frequency,avg_basket_value,days_since_last_purchase,num_categories_bought,avg_discount_used_pct,num_returns,return_rate_pct,website_visits_monthly,app_usage_monthly,email_open_rate_pct,email_click_rate_pct,customer_tenure_months,num_support_tickets,loyalty_points,referral_count,social_media_engagement,preferred_channel,gender,region,cluster,persona
39,88194.63490081542,3184.261846797588,11,121.8620838034547,18,9,29.346051151234697,1,4.2648821423282115,20,11,63.892296278980574,8.565804881263757,37,2,3064.717130196083,3,31.50929861686392,In-Store,Male,South,1,Mid-Tier Regulars
27,21621.445290937823,473.31483648783075,1,88.68241655705158,17,1,22.27098111832045,3,3.2605732201264734,12,9,39.275628139065134,14.354026072198028,89,2,917.7075246177303,2,17.185417532100228,Online,Male,North,3,Budget Browsers
26,69675.91732620295,1608.7975471897607,15,143.9802347361816,27,7,13.522264043722402,3,4.990626315189545,34,13,84.02597890959399,6.644716663571707,43,1,1560.2797433691865,3,3.8861442286429106,Online,Male,West,1,Mid-Tier Regulars
49,79449.46183151,5166.940546252495,18,194.10600249715708,4,13,17.92659008582547,5,2.2370144318019287,33,20,57.09710952653886,13.66801522869108,67,5,8061.264614447441,8,19.786330614548874,In-Store,Male,South,0,Premium Loyalists
44,52112.39089430215,173.9512863363793,0,126.02916722950498,377,1,5.771268181634207,0,3.2538239315543103,2,2,68.94868330624082,10.017412301025367,75,3,370.8109955082328,0,4.199714917455501,In-Store,Male,West,2,Dormant / At-Risk
28,48724.757286519685,675.1444324156021,10,116.93437732062839,31,1,1.8303216018402697,1,1.736268146700622,10,6,41.76045497440385,11.373947247565134,17,2,1003.0844377394858,1,6.40890381772318,Mobile App,Female,Central,3,Budget Browsers
18,47058.42313162571,1849.1203316307706,12,179.42252697298082,30,7,16.32459607589842,3,6.536240361857595,25,23,16.049393040179936,12.079601310215715,83,2,2204.994937389553,3,26.590971936699532,Mobile App,Male,East,1,Mid-Tier Regulars
38,68768.35842399833,2047.5374352386852,16,120.41204335777078,9,3,16.238791171535635,2,2.0507569024375947,24,12,12.192187323647808,12.753534114597805,1,1,2828.3536599854797,5,30.44264141482732,Mobile App,Female,North,1,Mid-Tier Regulars
42,139364.52543423226,3548.24822562101,25,196.51312870634126,1,12,4.078097265304333,2,1.667205855987825,35,21,38.13512100618039,11.589618522607148,16,6,8496.701995739271,8,7.75981179261756,Online,Female,Central,0,Premium Loyalists
61,62578.43617110992,137.06262455891635,0,142.04182514529217,181,2,20.031106969524522,0,2.9483660890639083,1,1,77.6174187549515,3.6253055482813457,90,1,313.8013689530586,0,18.941586943284484,In-Store,Female,South,2,Dormant / At-Risk
33,69121.49040022635,1182.4753348948373,11,139.09536147201874,2,3,16.453018584727772,2,2.640232709279074,19,4,18.748606306383618,8.950371818174569,57,2,3013.7754379247076,3,18.678059329469406,Mobile App,Male,South,1,Mid-Tier Regulars
36,155033.46184979423,4691.642260795834,24,201.14713984880086,12,12,17.480568419333643,1,5.700034501686146,45,23,21.377130403024054,11.442343682098379,62,1,8525.926327233645,6,68.76961006242882,Mobile App,Female,North,0,Premium Loyalists
18,41053.61340177138,456.08929944760587,5,80.837680953547,198,2,1.9191732069394272,1,13.523755067657474,12,7,55.572680169619574,5.100752285720398,6,1,563.1834314121888,3,20.17897358079957,Online,Female,South,3,Budget Browsers
46,66097.03113724053,2427.600366238522,13,139.77626622303603,17,4,3.4693245672434894,2,6.540728757819411,23,13,17.908501457278785,19.448687806640542,44,1,1972.2899216852215,6,44.18374034336621,Online,Female,South,1,Mid-Tier Regulars
45,72374.45522213799,51.820719638214854,1,180.1333133054849,85,1,2.5563695926165906,0,0.9176718026467678,3,1,63.40151237963651,7.43837909000859,89,1,392.45996536047335,0,50.898931346577946,Mobile App,Male,Central,2,Dormant / At-Risk
28,38542.08160259625,251.13481888681633,4,62.32633103488904,24,1,22.054923335431024,3,3.571026234184014,8,2,62.13003763566135,14.097947491193322,79,0,510.0840518237702,0,27.886501519276496,Mobile App,Female,South,3,Budget Browsers
30,43945.3282110405,398.6513025387263,2,102.9856715632196,89,1,39.365176759526484,1,5.012000406303246,10,5,36.91842904558279,18.016498459160655,30,2,598.3255476404508,1,39.800603445839066,Mobile App,Male,North,3,Budget Browsers
29,145219.3064696617,3812.3759666579153,23,245.49182165760718,1,16,12.311628670677287,3,6.713442486915134,35,23,61.54416404836637,13.857566351067538,94,1,5284.229977013032,3,8.60246142660082,Online,Male,Central,0,Premium Loyalists
64,56157.99931421335,204.64373043039387,1,126.90883279482163,228,1,8.893182209498304,0,4.811922196202061,3,1,57.77614321761712,13.245660400709472,86,3,473.487147571205,0,27.65929600495581,In-Store,Male,North,2,Dormant / At-Risk
55,43504.24598061038,185.72909182819103,2,116.16861223044916,103,1,10.968583002787911,0,1.5797720239830095,1,2,30.923279152563914,1.1909740884607434,6,1,328.8251562769343,0,30.960193668255393,In-Store,Male,South,2,Dormant / At-Risk
30,45850.664996181324,3758.3217800828525,20,172.23726121821238,3,12,16.217722170429653,4,7.166813378638623,40,14,13.546467602180828,13.290597847415311,51,2,11664.137739986078,4,30.769703771545586,In-Store,Female,Central,0,Premium Loyalists
37,70171.17199452026,985.9531698665241,23,175.00831828997724,9,2,0.8868239994553018,2,6.3048402213615855,38,14,13.350616874751445,10.974345051975876,63,1,8602.449620121532,10,34.111063826052735,Online,Female,East,0,Premium Loyalists
27,29947.792015309864,339.3719251476047,3,42.722199365321366,10,1,7.862624874175515,1,7.818479489388576,9,3,28.9521207910528,3.9545860456566504,9,2,778.9437271912168,0,15.129135238487986,Online,Female,South,3,Budget Browsers
38,62826.704799984844,1541.1762174224582,15,144.53677177558717,29,4,7.4292163394647925,3,7.357807166620059,20,11,71.8381144203253,4.77340696396993,47,1,2616.2277500143914,2,19.783766058118353,Mobile App,Female,North,1,Mid-Tier Regulars
33,35286.920703203265,433.6097453827128,3,105.50633859269627,22,4,1.2436895840405309,2,9.049292953005407,8,4,45.29883202927016,2.9146347303024647,46,2,971.5971743595753,1,53.366002126056536,In-Store,Female,West,3,Budget Browsers
52,57558.87614075975,183.0383530691551,1,133.31950141249993,342,1,22.41257817847121,0,5.621375714491133,2,1,29.693964348715397,9.701335472584205,64,2,282.8396906042528,0,43.67732863913306,Online,Female,East,2,Dormant / At-Risk
47,41779.846960827956,209.17945840434166,1,153.183918856234,135,1,3.717120051806175,0,8.142696466952174,4,1,25.05919311161488,14.997715163156967,39,2,208.97231082419992,0,37.93694635517172,In-Store,Female,West,2,Dormant / At-Risk
35,47251.568213522696,373.7020507800239,1,91.60229086073943,11,1,35.85804227611755,1,0.7368560267234775,7,6,33.481422926622514,3.9426483533222623,30,2,913.1212072406009,0,18.363647425848338,In-Store,Male,North,3,Budget Browsers
49,118813.34538430035,5286.707076182876,20,254.97671130437607,28,8,11.108689819615124,3,8.130919602331673,39,21,32.72742956030681,8.23161514511655,83,3,7161.591877967172,8,35.969549713199925,Mobile App,Female,North,0,Premium Loyalists
23,33747.270372182575,627.1525188711465,9,103.11788451148175,39,3,7.100593178506175,3,2.793540075221153,8,1,15.856932096239678,12.55400038736626,68,3,735.1716904609239,4,41.31622444847478,In-Store,Male,North,3,Budget Browsers
21,40342.64146306385,394.2012139573447,6,57.735258796713296,203,1,16.990679285926156,2,1.6857489201426787,7,3,51.13717471426082,13.832114848104101,62,0,1178.2747339479272,1,30.91634945665968,Online,Male,Central,3,Budget Browsers
36,57411.50840539062,1693.0416987013086,16,110.1603842420304,4,6,31.21834848652878,1,3.2463436422797516,33,10,52.70634164323096,7.460775676330322,77,3,3653.1092016600924,8,36.36142191251915,Online,Female,West,1,Mid-Tier Regulars
22,34630.1041216391,229.07029124624006,5,32.23539982812293,85,3,34.04891742345692,2,5.124646131795617,7,2,17.784797758496033,10.44368051071623,73,1,788.1938989906072,3,30.812376200894963,Mobile App,Female,East,3,Budget Browsers
47,43122.876749082425,92.42838633127843,0,151.9198864022029,625,2,22.19307708545892,0,5.468054781855779,2,4,57.52502651835212,20.833729832229572,86,1,318.487096227026,0,24.946101404532918,Online,Male,South,2,Dormant / At-Risk
38,126230.63061489334,7490.199324405907,18,183.51379176213396,22,3,8.539400463150052,3,11.057039618005486,43,20,66.33717671156364,16.903390510039014,22,3,9668.346927069226,6,53.57713284181921,Online,Female,West,0,Premium Loyalists
27,33402.93249808807,553.1355314912913,5,113.47687988507596,164,2,13.50962244958444,1,6.6846236989399,11,3,32.01151483387998,11.304953100224818,71,3,837.0748640042367,2,70.34657465744505,Mobile App,Female,North,3,Budget Browsers
48,62929.65308073343,1720.0509482485795,17,142.3851179844992,40,13,13.55637836536501,3,6.573571014033282,28,9,29.316010415868533,16.767079935642233,34,3,3670.752774407204,5,50.07270626969618,In-Store,Male,Central,1,Mid-Tier Regulars
35,188966.9437085775,3901.3017107172723,14,208.86873466241286,2,9,14.52477404448491,4,2.312955940548993,38,17,56.6450021451608,6.184010428252787,79,3,7866.986909395215,5,30.53618766342777,Mobile App,Male,Central,0,Premium Loyalists
48,120849.55128391384,4374.349239700664,32,214.46200182006157,20,11,26.295146178381017,2,3.0322593664652597,39,28,31.77286819908539,15.070878749919839,26,1,13554.721713677449,3,30.97784882306683,In-Store,Female,West,0,Premium Loyalists
30,42034.15545375858,278.0273082837645,4,44.19799961154041,158,1,16.16885706508297,0,0.408400128084847,10,6,59.50949902011761,21.515558698308926,72,5,721.604770225716,1,13.022383718055464,Online,Male,Central,3,Budget Browsers
43,137793.0377390515,1769.808773055663,24,214.99592371221115,20,17,16.714134068646207,4,3.9753222180823045,35,15,70.57921326344842,16.180855289744787,39,4,5998.413877603904,7,21.271350251833184,Mobile App,Female,West,0,Premium Loyalists
32,110219.29403496477,1564.4007097106605,17,211.67477587003788,13,7,21.18926521537147,2,3.464849515337573,48,22,41.45838487030421,20.525748860468756,69,4,6868.543611589224,1,26.03211036681399,In-Store,Female,Central,0,Premium Loyalists
56,155078.8677133702,4191.149463515832,17,210.7536085462886,17,9,15.135104851617703,1,5.814057051410185,45,20,16.548427141218898,9.14149767191138,8,1,8802.204737605143,2,5.2605120895589845,Mobile App,Male,Central,0,Premium Loyalists
35,43833.16882160802,440.5978661818763,7,92.59861505146166,10,3,10.742637017277517,2,0.7420411619616506,13,2,63.77245906141784,1.1667215430059639,33,2,728.2630865272571,0,16.537559044018266,Online,Male,West,3,Budget Browsers
37,49667.72882888908,2471.1133102022777,13,109.1425026851148,6,4,39.231037902650904,2,4.799194649557641,16,14,69.16769876491787,7.604524303588025,13,0,5034.185969714543,1,11.168488234000053,Online,Female,East,1,Mid-Tier Regulars
44,52596.9020610944,2144.0480104624166,9,127.57160588532705,0,5,12.560452912049659,1,4.0443584222779645,24,19,63.867130497579325,8.556223161158375,66,1,3855.13010720459,4,17.324471785883325,Online,Female,West,1,Mid-Tier Regulars
